time;logid;split;acdcalls;vdn;abncalls;transferred;holdcalls;auxoutoffcalls;i_acdtime;i_acwintime;holdtime;workmode;direction;auxreason;auxoutofftime;i_stafftime;i_availtime;i_auxtime;ansringtime;abntime;holdabncalls;holdacdtime
2021/06/08 10:01:47;2101780;1041;0;;0;0;0;0;0;0;0;50;0;5;0;104;0;104;0;0;0;0
2021/06/08 10:01:47;2101780;1042;0;;0;0;0;0;0;0;0;50;0;5;0;104;0;104;0;0;0;0
2021/06/08 10:01:47;2101780;1043;0;;0;0;0;0;0;0;0;50;0;5;0;104;0;104;0;0;0;0
2021/06/08 10:01:47;2101780;1091;0;;0;0;0;0;0;0;0;50;0;5;0;104;0;104;0;0;0;0
2021/06/08 10:01:47;2101780;1236;0;;0;0;0;0;0;0;0;50;0;5;0;104;0;104;0;0;0;0
2021/06/06 15:38:14;2106490;1082;0;;0;0;0;0;0;9;0;20;0;;0;493;484;0;0;0;0;0
2021/06/06 15:38:14;2106490;1084;0;;0;0;0;0;0;0;0;20;0;;0;493;484;0;0;0;0;0
2021/06/06 15:38:14;2106490;1131;0;;0;0;0;0;0;0;0;20;0;;0;493;484;0;0;0;0;0
2021/06/06 15:38:14;2106490;1139;0;;0;0;0;0;0;0;0;20;0;;0;493;484;0;0;0;0;0
2021/06/06 15:38:14;2106490;1140;0;;0;0;0;0;0;0;0;20;0;;0;493;484;0;0;0;0;0
2021/06/06 15:38:14;2106490;1141;0;;0;0;0;0;0;0;0;20;0;;0;493;484;0;0;0;0;0
2021/06/06 15:38:14;2106490;1142;0;;0;0;0;0;0;0;0;20;0;;0;493;484;0;0;0;0;0
2021/06/06 15:38:14;2106490;1143;0;;0;0;0;0;0;0;0;20;0;;0;493;484;0;0;0;0;0
2021/06/06 15:38:14;2106490;1144;0;;0;0;0;0;0;0;0;20;0;;0;493;484;0;0;0;0;0
2021/06/06 15:38:14;2106490;6248;0;;0;0;0;0;0;0;0;20;0;;0;493;484;0;0;0;0;0
2021/06/05 18:34:21;2103614;1082;0;2000354;0;0;0;0;0;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 18:34:21;2103614;1084;0;2000354;0;0;0;0;0;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 18:34:21;2103614;1131;0;2000354;0;0;0;0;260;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 18:34:21;2103614;1139;0;2000354;0;0;0;0;0;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 18:34:21;2103614;1140;0;2000354;0;0;0;0;0;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 18:34:21;2103614;1141;0;2000354;0;0;0;0;0;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 18:34:21;2103614;1142;0;2000354;0;0;0;0;0;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 18:34:21;2103614;1143;0;2000354;0;0;0;0;0;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 18:34:21;2103614;1144;0;2000354;0;0;0;0;0;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 18:34:21;2103614;6249;0;2000354;0;0;0;0;0;0;0;30;2;;0;260;0;0;0;0;0;0
2021/06/05 13:46:09;2112594;1178;0;;0;0;0;0;0;0;0;50;2;0;0;968;0;968;0;0;0;0
2021/06/05 13:46:09;2112594;1179;0;;0;0;0;0;0;0;0;50;2;0;0;968;0;968;0;0;0;0
2021/06/05 13:46:09;2112594;1180;0;;0;0;0;0;0;0;0;50;2;0;0;968;0;968;0;0;0;0
2021/06/07 09:54:14;2115353;1035;1;2000114;0;0;0;2;999;8;0;30;2;;73;1452;171;107;2;0;0;0
2021/06/07 09:54:14;2115353;1036;0;2000114;0;0;0;0;0;0;0;30;2;;0;1452;171;107;0;0;0;0
2021/06/07 09:54:14;2115353;1037;0;2000114;0;0;0;0;0;0;0;30;2;;0;1452;171;107;0;0;0;0
2021/06/07 09:54:14;2115353;1038;0;2000114;0;0;0;0;0;0;0;30;2;;0;1452;171;107;0;0;0;0
2021/06/07 09:54:14;2115353;1090;0;2000114;0;0;0;0;0;0;0;30;2;;0;1452;171;107;0;0;0;0
2021/06/07 13:56:48;2106646;1082;1;;0;0;0;2;401;33;0;50;0;8;949;1607;413;255;6;0;0;0
2021/06/07 13:56:48;2106646;1084;0;;0;0;0;0;0;0;0;50;0;8;0;1607;413;255;0;0;0;0
2021/06/07 13:56:48;2106646;1131;1;;0;0;1;0;448;5;40;50;0;8;0;1607;413;255;6;0;0;40
2021/06/07 13:56:48;2106646;1139;0;;0;0;0;0;0;0;0;50;0;8;0;1607;413;255;0;0;0;0
2021/06/07 13:56:48;2106646;1140;0;;0;0;0;0;0;0;0;50;0;8;0;1607;413;255;0;0;0;0
2021/06/07 13:56:48;2106646;1141;0;;0;0;0;0;0;0;0;50;0;8;0;1607;413;255;0;0;0;0
2021/06/07 13:56:48;2106646;1142;0;;0;0;0;0;0;0;0;50;0;8;0;1607;413;255;0;0;0;0
2021/06/07 13:56:48;2106646;1143;0;;0;0;0;0;0;0;0;50;0;8;0;1607;413;255;0;0;0;0
2021/06/07 13:56:48;2106646;1144;0;;0;0;0;0;0;0;0;50;0;8;0;1607;413;255;0;0;0;0
2021/06/07 13:56:48;2106646;6248;0;;0;0;0;0;0;0;0;50;0;8;0;1607;413;255;0;0;0;0
2021/06/07 14:42:22;2832078;1221;0;;0;0;0;0;0;0;0;50;0;6;0;740;0;740;0;0;0;0
2021/06/07 14:42:22;2832078;1222;0;;0;0;0;0;0;0;0;50;0;6;0;740;0;740;0;0;0;0
2021/06/07 14:42:22;2832078;1223;0;;0;0;0;0;0;0;0;50;0;6;0;740;0;740;0;0;0;0
2021/06/07 14:42:22;2832078;1224;0;;0;0;0;0;0;0;0;50;0;6;0;740;0;740;0;0;0;0
